dispute_id,txn_id,customer_id,merchant_id,dispute_reason,dispute_date,resolution_status,resolution_days,amount
DSP00001,TXN0000003,C00378,M0096,Quality Issue,2023-01-01,Resolved,42.0,4274.06
DSP00002,TXN0000016,C00292,M0003,Quality Issue,2023-01-01,Escalated,42.0,131639.38
DSP00003,TXN0000022,C00190,M0058,Item Not Received,2023-01-01,Resolved,,1449.88
DSP00004,TXN0000070,C00606,M0049,Quality Issue,2023-01-02,Escalated,36.0,1837.18
DSP00005,TXN0000073,C00618,M0082,Duplicate,2023-01-03,Pending,14.0,1151.45
DSP00006,TXN0000076,C00480,M0067,Item Not Received,2023-01-03,Resolved,,19085.29
DSP00007,TXN0000082,C00770,M0009,Duplicate,2023-01-03,Resolved,12.0,2981.5
DSP00008,TXN0000101,C00705,M0057,Duplicate,2023-01-04,Escalated,44.0,3027.68
DSP00009,TXN0000130,C00585,M0098,Item Not Received,2023-01-04,Resolved,34.0,3753.19
DSP00010,TXN0000144,C00163,M0012,Item Not Received,2023-01-05,Resolved,,5856.99
DSP00011,TXN0000149,C00736,M0076,Quality Issue,2023-01-05,Resolved,,3498.38
DSP00012,TXN0000157,C00057,M0085,Item Not Received,2023-01-05,Escalated,,1445.81
DSP00013,TXN0000180,C00747,M0047,Item Not Received,2023-01-06,Pending,3.0,3811.58
DSP00014,TXN0000185,C00050,M0120,Unauthorized,2023-01-06,Pending,14.0,180861.71
DSP00015,TXN0000196,C00533,M0081,Duplicate,2023-01-06,Resolved,20.0,7073.88
DSP00016,TXN0000212,C00693,M0059,Duplicate,2023-01-07,Pending,17.0,6540.26
DSP00017,TXN0000227,C00049,M0020,Quality Issue,2023-01-07,Pending,35.0,164689.22
DSP00018,TXN0000239,C00125,M0049,Item Not Received,2023-01-07,Escalated,28.0,548.58
DSP00019,TXN0000241,C00594,M0043,Duplicate,2023-01-07,Pending,39.0,34638.86
DSP00020,TXN0000255,C00254,M0012,Duplicate,2023-01-08,Escalated,11.0,8488.13
DSP00021,TXN0000257,C00625,M0090,Item Not Received,2023-01-08,Escalated,10.0,823.67
DSP00022,TXN0000262,C00690,M0074,Item Not Received,2023-01-08,Escalated,32.0,26817.17
DSP00023,TXN0000291,C00223,M0113,Duplicate,2023-01-09,Escalated,,12611.04
DSP00024,TXN0000324,C00498,M0081,Duplicate,2023-01-10,Pending,,6364.07
DSP00025,TXN0000327,C00409,M0047,Unauthorized,2023-01-10,Pending,17.0,7213.44
DSP00026,TXN0000349,C00302,M0020,Quality Issue,2023-01-11,Resolved,36.0,43732.11
DSP00027,TXN0000365,C00312,M0001,Unauthorized,2023-01-11,Pending,,5286.96
DSP00028,TXN0000409,C00698,M0084,Quality Issue,2023-01-13,Resolved,34.0,7924.63
DSP00029,TXN0000435,C00044,M0120,Item Not Received,2023-01-14,Resolved,19.0,1294.85
DSP00030,TXN0000446,C00298,M0114,Quality Issue,2023-01-14,Escalated,,21533.06
DSP00031,TXN0000477,C00342,M0106,Quality Issue,2023-01-15,Pending,14.0,2541.58
DSP00032,TXN0000481,C00263,M0050,Item Not Received,2023-01-15,Pending,,3813.64
DSP00033,TXN0000523,C00514,M0009,Quality Issue,2023-01-16,Escalated,,11461.85
DSP00034,TXN0000534,C00517,M0069,Duplicate,2023-01-17,Pending,,2841.41
DSP00035,TXN0000538,C00625,M0082,Duplicate,2023-01-17,Pending,14.0,705.14
DSP00036,TXN0000552,C00676,M0034,Item Not Received,2023-01-17,Resolved,13.0,18824.65
DSP00037,TXN0000557,C00238,M0042,Quality Issue,2023-01-17,Escalated,31.0,1616.27
DSP00038,TXN0000585,C00111,M0070,Quality Issue,2023-01-18,Pending,,3323.0
DSP00039,TXN0000610,C00068,M0108,Unauthorized,2023-01-19,Pending,,4008.32
DSP00040,TXN0000682,C00040,M0059,Quality Issue,2023-01-21,Pending,2.0,6389.06
DSP00041,TXN0000689,C00340,M0046,Duplicate,2023-01-21,Resolved,,4994.91
DSP00042,TXN0000691,C00495,M0110,Item Not Received,2023-01-22,Resolved,25.0,3381.49
DSP00043,TXN0000699,C00569,M0105,Quality Issue,2023-01-22,Escalated,,7949.98
DSP00044,TXN0000743,C00644,M0047,Quality Issue,2023-01-23,Escalated,,5261.88
DSP00045,TXN0000769,C00294,M0061,Item Not Received,2023-01-23,Pending,22.0,1989.12
DSP00046,TXN0000791,C00567,M0061,Unauthorized,2023-01-24,Escalated,,781.91
DSP00047,TXN0000859,C00087,M0002,Duplicate,2023-01-26,Resolved,18.0,2335.65
DSP00048,TXN0000872,C00296,M0091,Unauthorized,2023-01-27,Pending,,876.4
DSP00049,TXN0000885,C00388,M0043,Item Not Received,2023-01-27,Resolved,16.0,4952.75
DSP00050,TXN0000924,C00784,M0033,Item Not Received,2023-01-28,Resolved,,467.92
DSP00051,TXN0000950,C00572,M0043,Quality Issue,2023-01-29,Escalated,27.0,22224.06
DSP00052,TXN0000960,C00094,M0107,Duplicate,2023-01-29,Escalated,36.0,5234.54
DSP00053,TXN0000980,C00648,M0074,Quality Issue,2023-01-30,Resolved,23.0,33735.53
DSP00054,TXN0000987,C00605,M0025,Quality Issue,2023-01-30,Pending,44.0,31136.7
DSP00055,TXN0001018,C00086,M0118,Quality Issue,2023-01-31,Pending,,197107.35
DSP00056,TXN0001058,C00562,M0069,Duplicate,2023-02-01,Pending,16.0,6538.74
DSP00057,TXN0001068,C00633,M0003,Unauthorized,2023-02-01,Pending,,521.92
DSP00058,TXN0001081,C00087,M0091,Duplicate,2023-02-02,Pending,,1179.5
DSP00059,TXN0001097,C00070,M0017,Quality Issue,2023-02-02,Resolved,23.0,1270.12
