txn_id,txn_date,txn_time,txn_month,merchant_id,merchant_city,customer_id,amount,payment_mode,status,dispute_reason,settlement_date,risk_flag,processing_fee,net_settlement_amount
TXN0000001,2023-01-01,00:39:00,2023-01,M0030,Bengaluru,C00602,4371.17,Net Banking,Success,,2023-01-02,No,77.14,4269.81
TXN0000002,2023-01-01,01:16:00,2023-01,M0051,Hyderabad,C00650,7872.27,Wallet,Failed,,,No,166.2,0.0
TXN0000003,2023-01-01,01:42:00,2023-01,M0096,Gurugram,C00378,4274.06,UPI,Disputed,Quality Issue,,No,85.84,0.0
TXN0000004,2023-01-01,02:16:00,2023-01,M0079,Hyderabad,C00738,28506.63,Wallet,Success,,2023-01-04,No,660.36,27875.1
TXN0000005,2023-01-01,03:01:00,2023-01,M0037,Chennai,C00203,2986.45,Wallet,Success,,2023-01-03,No,59.22,2935.98
TXN0000006,2023-01-01,03:33:00,2023-01,M0012,Gurugram,C00465,4053.25,UPI,Success,,2023-01-03,No,95.26,3956.96
TXN0000007,2023-01-01,04:01:00,2023-01,M0024,Chennai,C00657,1368.82,Debit Card,Success,,2023-01-08,No,22.24,1342.8
TXN0000008,2023-01-01,04:31:00,2023-01,M0105,Bengaluru,C00134,14880.74,Net Banking,Success,,2023-01-03,No,237.66,14617.02
TXN0000009,2023-01-01,05:45:00,2023-01,M0081,Mumbai,C00236,22230.8,Wallet,Success,,2023-01-02,No,364.55,21731.97
TXN0000010,2023-01-01,06:02:00,2023-01,M0052,Gurugram,C00497,1436.0,UPI,Success,,2023-01-03,No,29.77,1401.16
TXN0000011,2023-01-01,08:05:00,2023-01,M0039,Gurugram,C00407,14812.09,Credit Card,Success,,2023-01-02,No,232.11,14457.85
TXN0000012,2023-01-01,08:46:00,2023-01,M0010,Kolkata,C00424,522.86,Wallet,Success,,2023-01-04,No,10.28,514.84
TXN0000013,2023-01-01,09:28:00,2023-01,M0001,Kolkata,C00047,3474.66,Debit Card,Success,,2023-01-08,No,77.97,3388.56
TXN0000014,2023-01-01,09:30:00,2023-01,M0107,Ahmedabad,C00280,4489.03,UPI,Failed,,,No,108.77,0.0
TXN0000015,2023-01-01,09:34:00,2023-01,M0050,Ahmedabad,C00072,6862.59,Wallet,Success,,2023-01-02,No,105.05,6740.54
TXN0000016,2023-01-01,09:41:00,2023-01,M0003,Gurugram,C00292,131639.38,Credit Card,Disputed,Quality Issue,,Yes,2069.78,0.0
TXN0000017,2023-01-01,10:04:00,2023-01,M0029,Gurugram,C00148,2132.93,Net Banking,Success,,2023-01-08,No,34.93,2090.02
TXN0000018,2023-01-01,12:07:00,2023-01,M0022,Chennai,C00440,5744.64,Net Banking,Success,,2023-01-08,No,96.79,5614.48
TXN0000019,2023-01-01,13:38:00,2023-01,M0055,Delhi,C00315,6895.51,UPI,Success,,2023-01-02,No,110.99,6779.43
TXN0000020,2023-01-01,13:44:00,2023-01,M0098,Pune,C00220,9804.14,UPI,Success,,2023-01-04,No,160.48,9573.38
